Team Rating: 11, Threat Score: 730, machamp, snorlax, swampert, Grades : C, C, B, A
Team Rating: 11, Threat Score: 730, abomasnow, snorlax, swampert, Grades : C, C, B, A
Team Rating: 11, Threat Score: 727, giratina_altered, giratina_origin, perrserker, Grades : C, C, B, A
Team Rating: 11, Threat Score: 726, articuno, perrserker, snorlax, Grades : C, C, B, A
Team Rating: 11, Threat Score: 726, articuno, lapras, poliwrath, Grades : C, B, B, B
Team Rating: 11, Threat Score: 725, giratina_origin, perrserker, snorlax, Grades : C, C, B, A
Team Rating: 11, Threat Score: 725, giratina_origin, muk_alolan, perrserker, Grades : C, C, B, A
Team Rating: 11, Threat Score: 724, articuno, muk_alolan, obstagoon, Grades : C, B, B, B
Team Rating: 11, Threat Score: 723, cresselia, machamp, togekiss, Grades : C, B, B, B
Team Rating: 11, Threat Score: 721, abomasnow, articuno, mewtwo_armored, Grades : C, B, B, B
